Track URI,Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness
spotify:track:6ZJ3NPR2M6sZ5XQzBsJMP0,Atone & Bloom,Auvic,35,['complextro'],Soulfire: Ascension,33,0.544,0.807,5,-8.014,0,0.0742
spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Halsey,80,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Manic,82,0.752,0.488,6,-7.05,1,0.0705
spotify:track:26im1U8SKtnYPyV6BcVYVl,ZanzaX,ZIGGY X,44,['hands up'],ZanzaX,15,0.57,0.989,6,-4.885,0,0.0728
spotify:track:5Q5sQ1AgLQ1wKKXIYt6FGC,Elements,Lindsey Stirling,63,"['bow pop', 'pop violin']",Lindsey Stirling,48,0.423,0.746,0,-6.912,1,0.0582
spotify:track:1Yd1yZSGgMGbh4HzUp171g,Welcome to Planet Urf,League of Legends,75,"['speedrun', 'video game music']",Welcome to Planet Urf,40,0.51,0.886,1,-7.398,1,0.0652
spotify:track:4qxqLnWYd1zOoD3bG7qaSQ,Voyager,Dimatik,54,"['melbourne bounce', 'melbourne bounce international']",Voyager,34,0.616,0.901,11,-4.125,0,0.081
spotify:track:10J13D1trETctDdfUg6b5V,I'm A Monster,Lucha,44,"['arab trap', 'traprun']",I'm A Monster,54,0.584,0.909,5,-5.379,0,0.355
spotify:track:55rBLj1xaRkZybOH4LVyru,God Rest Ye Merry Gentlemen,Lindsey Stirling,63,"['bow pop', 'pop violin']",Snow Waltz,37,0.604,0.742,6,-4.12,0,0.0351
spotify:track:3BhuCXIuyhy8wVqfUvzYca,Carol Of The Bells - Instrumental,Tommee Profitt,62,"['anthem worship', 'bossbeat']",Cinematic Songs (Vol. 1),37,0.506,0.698,3,-9.071,1,0.0272
spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,KALEO,69,"['icelandic indie', 'icelandic rock', 'modern alternative rock']",A/B,85,0.489,0.505,10,-8.022,0,0.117
spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,88,"['art pop', 'electropop', 'pop']",lovely (with Khalid),89,0.351,0.296,4,-10.109,0,0.0333
spotify:track:2DgdHcjWmO3qd50RzuBLgZ,House of Memories,Panic! At The Disco,75,['pop'],Death of a Bachelor,81,0.506,0.817,11,-5.051,0,0.0335
spotify:track:1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier,81,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",Hozier (Expanded Edition),79,0.566,0.664,4,-5.303,0,0.0464
spotify:track:3qE6p9fN4YeILT0cQcY1cD,Holding Out for a Hero - Single Version,Bonnie Tyler,65,"['europop', 'new wave pop', 'soft rock']",The Very Best of Bonnie Tyler,64,0.549,0.89,9,-7.973,0,0.0613
spotify:track:08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,79,"['australian rock', 'hard rock', 'rock']",Back In Black,84,0.31,0.7,9,-5.678,1,0.047
spotify:track:54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,Queen,83,"['classic rock', 'glam rock', 'rock']",News Of The World (Deluxe Remastered Version),70,0.693,0.497,2,-7.316,1,0.119
spotify:track:4Wu62DoQg1ECGlDKDfo30R,Hero,Martin Garrix,75,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",Hero,70,0.534,0.696,9,-5.211,0,0.0694
spotify:track:5leIyHpAEw9fu29hT9dnbI,Kick,Saint Chaos,51,['bossbeat'],Seeing Red,33,0.44,0.751,5,-5.164,0,0.0541
spotify:track:16Azhyv8164hYxI8Ax3F5k,Blur,Stellar,65,['social media pop'],Blur,69,0.834,0.6,5,-5.433,1,0.0313
spotify:track:7iOHWSRgkXrHeWSdlMtGX0,freak out,Layto,54,['dark r&b'],freak out,37,0.458,0.746,1,-5.084,0,0.0779
spotify:track:1dFLTZh34XI9YI7eHYhjaY,My Way,NEFFEX,70,[],My Way,52,0.778,0.713,10,-7.301,1,0.0512
spotify:track:2v0d2zo4bgHkge4B1O6e3c,Freedom,Alle Farben,64,"['deep euro house', 'german dance']",Freedom,58,0.775,0.713,9,-5.422,0,0.3
spotify:track:463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Dua Lipa,87,"['dance pop', 'pop', 'uk pop']",Levitating (feat. DaBaby),74,0.702,0.825,6,-3.787,0,0.0601
spotify:track:3mRLHiSHYtC8Hk7bzZdUs1,River,Bishop Briggs,61,['modern alternative rock'],Church Of Scars,74,0.733,0.477,2,-6.737,0,0.0687
spotify:track:2KhGEkY9OsQbRaX0U9NzPH,Onward,Ryan Taubert,37,[],Thunderbird,39,0.486,0.841,0,-8.554,0,0.0618
spotify:track:0VRNhAc2wPIuQ8KqtLT8oI,Lust of Power,Gabriel Saban,44,['epicore'],Staccato,46,0.599,0.633,2,-10.377,0,0.0444
spotify:track:4jjIxeRgTfiTVMatZJWymj,Irish Dubstep,Green Lads,35,[],Celtitude,37,0.518,0.68,2,-8.106,1,0.0415
spotify:track:7s0lDK7y3XLmI7tcsRAbW0,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,78,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",Save Rock And Roll,65,0.558,0.924,9,-4.341,0,0.064
spotify:track:1CELNGu8oIv6x4Ja2xb5nV,Outer Space,Ronald Jenkees,36,[],Disorganized Fun,21,0.685,0.52,1,-10.248,1,0.0284
spotify:track:2VDdoBA24QICNHn5JkJwyE,Born For Greatness,Papa Roach,70,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",Born For Greatness,42,0.518,0.849,9,-5.472,0,0.0664
spotify:track:6RCCH9Y1tbbGiZrOD6szr6,Piano Poli (Total Remake),Technical Hitch,33,['hi-tech'],Piano Poli (Total Remake),28,0.574,0.826,6,-7.189,0,0.0671
spotify:track:3OaVpiKq19ZqBFUhO36tgH,Blind Spot,Saint Chaos,51,['bossbeat'],Seeing Red,38,0.754,0.525,1,-5.429,0,0.274
spotify:track:3LBLmC8gqvt1l43kdpx43w,Enemies,The Score,67,"['modern alternative rock', 'pov: indie']",Metamorph,62,0.555,0.832,4,-5.96,0,0.0323
spotify:track:5rwENLvtyFLLxcGrtIkv88,Pull The Cord,The Score,67,"['modern alternative rock', 'pov: indie']",Metamorph,44,0.608,0.824,6,-5.465,0,0.0376
spotify:track:3CrsuTJomWZmeXIvKhV45l,Stronger,The Score,67,"['modern alternative rock', 'pov: indie']",Carry On,66,0.563,0.678,2,-4.717,0,0.0392
spotify:track:0DhFYO9XTP3YfkNulfrTNm,Piano,Sugar,16,[],Piano,36,0.677,0.951,5,-4.88,0,0.115
spotify:track:3A8ghcen5oufW6hv9vYVWp,Atikapatum,ATIKA PATUM,28,[],Atikapatum,32,0.744,0.649,9,-6.127,0,0.0428
spotify:track:0kW7NQraFEyAhXqaE4cZG0,Flesh,Simon Curtis,47,[],R∆,53,0.577,0.773,1,-2.879,1,0.0766
spotify:track:1FTZ9k7cLIpzoREqAvWbRt,Sirens,Kytami,7,[],Renegade,3,0.379,0.894,7,-1.256,0,0.0475
spotify:track:73YuGQ2c5v9nVurzfxo0tH,Unity (The Widdler's Rest),Culprate,31,['filthstep'],"Unity Project, Pt. 1",22,0.42,0.302,6,-13.207,0,0.0423
spotify:track:2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),Shouse,66,['aussietronica'],Love Tonight (David Guetta Remix),79,0.621,0.989,10,-4.225,0,0.0434
spotify:track:0Z9TafIwWJgQxSmqnsPwLI,Face In The Dark (ft. Panther),City Wolf,44,"['bossbeat', 'rebel blues']",Face In The Dark,47,0.47,0.961,7,-0.868,1,0.363
spotify:track:2ufpTLLgG1Q1etucp78w5m,The Way,Zack Hemsey,48,['epicore'],The Way,53,0.243,0.446,5,-11.944,0,0.0502
spotify:track:7N267HKpnzJzqToo5KcaoF,Redemption,Besomorph,61,"['alt z', 'dark r&b', 'slap house', 'traprun']",Redemption,60,0.644,0.635,7,-6.041,0,0.0453
spotify:track:1BTJhzCG7VZYcrbQENdTPK,Violin 2.0 - Ludwiig & Hallasen Remix,Helion,50,['melbourne bounce international'],Violin 2.0 - Ludwiig & Hallasen Remix,26,0.456,0.862,7,-6.94,1,0.191
spotify:track:1joJNa3bbsWPp9aspaWuSL,Vladimir's Theme,Dean Valentine,31,[],Viking (Music from the Original Motion Picture),46,0.536,0.729,7,-12.123,1,0.0798
spotify:track:4TuNI3WEMyLQAKRMJmcQdA,Narco,Blasterjaxx,61,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",Narco,66,0.764,0.943,8,-4.047,1,0.0711
spotify:track:0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,86,"['modern rock', 'pop', 'rock']",Bones,82,0.773,0.742,5,-3.678,0,0.046
spotify:track:7clyJIrLkEbXUDwj1tC9zz,Blood // Water,grandson,65,"['modern alternative rock', 'modern rock', 'pov: indie', 'rock']",a modern tragedy vol. 1,69,0.504,0.891,6,-5.632,0,0.137
spotify:track:6AkACwyfbkzOJtnTuhuQGa,Eye Of The Storm Reborn,Watt White,48,['rebel blues'],Eye Of The Storm Reborn,18,0.687,0.803,2,-4.558,0,0.154
spotify:track:2qdjgXaSMJrG6bRc2Qt6oS,Under The Pressure,The Score,67,"['modern alternative rock', 'pov: indie']",Pressure,53,0.487,0.833,8,-5.383,1,0.267
spotify:track:0HG9rgzpLiuNCDni1A2xsH,Sinking Hands,Wovenhand,30,"['gothic americana', 'neofolk']",The Threshingfloor,0,0.495,0.632,7,-8.074,0,0.0314
spotify:track:0xaH69M4A9NmdwbVqzQG7y,Same Ol',The Heavy,56,"['bath indie', 'modern blues rock']",The Glorious Dead,29,0.553,0.821,5,-4.478,0,0.0309
spotify:track:4r0Un07j9xJrTsMiEjanZS,Solomon Grundy,Chuxx Morris,38,"['bossbeat', 'rebel blues']",Damn Good - EP,55,0.2,0.692,9,-6.871,0,0.0557
spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,87,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),91,0.561,0.965,7,-3.673,0,0.0343
spotify:track:0k7WzMGRJ1IDUDM7Ku7qWA,Warbringer,TheFatRat,65,['speedrun'],PARALLAX,47,0.62,0.654,6,-7.439,0,0.0302
spotify:track:3ZYN2cfyCFn4NuWxEW9tuh,Outside,The Seige,54,"['bossbeat', 'cali rap']",Act IV: Awake,55,0.633,0.899,6,-2.753,0,0.224
spotify:track:1fh4rarBaLB8l5ALt1UvPv,WONDERLAND,Neoni,67,['dark r&b'],Wars In A Wonderland,63,0.652,0.654,10,-2.941,0,0.0414
spotify:track:1j3N4TCykSmXy12iUiMQWk,Crossed The Line,Vosai,45,['dark r&b'],Crossed The Line,60,0.533,0.723,2,-7.076,0,0.199
spotify:track:5cA7e6pdLcD0LMoJwUuUp9,Jumpin' In,Oh The Larceny,54,"['bossbeat', 'rebel blues']",Big Big Life,45,0.675,0.732,6,-5.028,0,0.0588
spotify:track:3Dq4oFbUEv56Z0yKXaTqF6,Die for You,The Seige,54,"['bossbeat', 'cali rap']",Duality,47,0.702,0.735,1,-7.139,1,0.0284
spotify:track:05f1rPg0cUUbShsL4FYcPt,Ready for War,Joznez,44,[],Ready for War,59,0.633,0.698,10,-5.57,0,0.152
spotify:track:0YjNUAch4z1nKS6TpaYT4a,Blind Spot,Saint Chaos,51,['bossbeat'],Seeing Red,0,0.751,0.524,1,-5.429,0,0.277
spotify:track:0wKtsprlb0ftb1kULv0kDD,ALPHA,Layto,54,['dark r&b'],ALPHA,54,0.793,0.534,2,-7.131,1,0.0766
spotify:track:6RSuGXM9GVMdXaI8ifGm8d,Let's Go,JAXSON GAMBLE,45,"['bossbeat', 'rebel blues']",Let's Go,52,0.782,0.848,2,-4.393,1,0.0672
spotify:track:5Nakyq7fHFlhxkMfNqG4Fv,Daredevil,Stellar,65,['social media pop'],Daredevil,67,0.815,0.514,11,-6.273,0,0.0499
spotify:track:5Ie5RZQsRAFaBy1EIBnc5e,Hell On Earth,VyOk,38,['anime phonk'],Existential,45,0.623,0.636,8,-8.088,0,0.0521
spotify:track:7lLMGY0OppwyTcMsmvnaa3,Gloves Are Comin' Off,7kingZ,37,['bossbeat'],Dedication: The Start - EP,39,0.486,0.602,1,-5.017,1,0.0902
spotify:track:0bqrFwY1HixfnusFxhYbDl,Die in This Town,The Seige,54,"['bossbeat', 'cali rap']",Act IV: Awake,58,0.685,0.746,5,-4.558,1,0.274
spotify:track:7AvmlqdYdt0SVgkweGCZk6,Make Moves,NEFFEX,70,[],Make Moves,37,0.794,0.823,2,-4.882,1,0.0569
spotify:track:4xigPf2sigSPmuFH3qCelB,"Genius (feat. Sia, Diplo, and Labrinth)",Sia,82,"['australian dance', 'australian pop', 'pop']","LABRINTH, SIA & DIPLO PRESENT... LSD",79,0.603,0.615,11,-4.931,0,0.165
spotify:track:0gJPHCF06ON7FKzzNqB2hf,INFECTED,STARSET,62,['future rock'],HORIZONS,56,0.508,0.823,0,-4.785,1,0.0346
spotify:track:4vAze2mrHQgy44qRuz1rCm,Numb The Pain,Clarx,50,['gaming edm'],Numb The Pain,64,0.552,0.86,8,-7.066,1,0.112
spotify:track:0lsRatBUs9HNIZAmoGABzk,Trampoline,SHAED,57,['electropop'],MELT,63,0.689,0.412,7,-7.523,0,0.0301
spotify:track:7IOxauZfx5l18mYfX0GZm6,Knees,Bebe Rexha,79,"['dance pop', 'pop']",Expectations,59,0.777,0.577,11,-6.872,0,0.0357
spotify:track:5Qs72OBqzllBJlcu5uDq2K,Revolution,The Score,67,"['modern alternative rock', 'pov: indie']",ATLAS (Deluxe),36,0.574,0.833,8,-6.237,0,0.057
spotify:track:7yEuRloGyxyu1KaWBTPP1Z,"Slow Motion (From ""Bharat"")",Shreya Ghoshal,81,"['filmi', 'modern bollywood']","Slow Motion (From ""Bharat"")",52,0.574,0.738,10,-5.526,1,0.0958
spotify:track:7oTQ4d0UJeH8LOyvpfd5uW,I’m So Sorry,Imagine Dragons,86,"['modern rock', 'pop', 'rock']",Smoke + Mirrors (Deluxe),64,0.528,0.687,2,-5.954,0,0.0532
spotify:track:1YyO0tXr2xt7LhWbw1PBFn,Woe to the People of Order,Cami-Cat,42,"['otacore', 'pixel']",Woe to the People of Order,45,0.482,0.349,8,-10.241,0,0.0359
spotify:track:6bN5PBFSID6w7Uhmachnda,Oblivion,Dirty Palm,48,"['gaming edm', 'melbourne bounce international']",Oblivion,60,0.573,0.925,6,-4.001,0,0.0756
spotify:track:4ePKbzLwkIBslceokt2iXZ,I Am Defiant,The Seige,54,"['bossbeat', 'cali rap']",I Am Defiant,58,0.477,0.859,6,-3.649,1,0.264
spotify:track:4y90oxZPFxJgDSqnOmmEqY,Free Me,NEFFEX,70,[],Free Me,54,0.751,0.711,1,-3.635,1,0.226
spotify:track:1qUHD9oPIMFHKpR12NY2KC,War of Change,Thousand Foot Krutch,64,"['alternative metal', 'canadian ccm', 'canadian metal', 'canadian rock', 'christian alternative rock', 'christian rock', 'rap metal']",The End Is Where We Begin,70,0.531,0.887,5,-4.417,0,0.0329
spotify:track:0QI1IQbCigfH2kkSdNfvpO,The High Seas,Brian Tyler,57,"['orchestral soundtrack', 'scorecore', 'soundtrack']",Assassin's Creed 4: Black Flag (Original Game Soundtrack),43,0.439,0.535,0,-11.175,1,0.0635
spotify:track:5XMYHUrX71sStmDNqJoyPZ,Black Sea,Natasha Blume,38,[],Black Sea,56,0.463,0.595,4,-5.251,0,0.0332
spotify:track:33uGRGCoS6aqQdLRpNphlh,Firework,Chase Holfelder,38,[],"Major to Minor, Vol. 2",34,0.536,0.751,10,-5.34,1,0.0594
spotify:track:1DQeHZkiQ0sBWKTH7eGQhh,Wildcard - Sex Whales Remix,Mickey Valen,52,['dark r&b'],Wildcard (Remixes),0,0.544,0.845,10,-2.267,0,0.0487
spotify:track:6NNECt6PMWP4zfIJhPUnU3,Dark Matter,Les Friction,36,['epicore'],Dark Matter,39,0.521,0.419,11,-11.448,0,0.0489
spotify:track:2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,Survivor,66,"['album rock', 'glam metal', 'hard rock', 'soft rock']",Rocky IV,77,0.817,0.599,0,-9.249,0,0.0328
spotify:track:76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,67,"['dance pop', 'pop']",DNCE,82,0.774,0.753,4,-5.446,0,0.0517
spotify:track:4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,Gotye,66,['australian pop'],Making Mirrors,76,0.864,0.495,0,-7.036,1,0.037
spotify:track:7vqpKhLbVZkBY2s6l59Q4L,Calling for Rain,Neo Liu,21,[],KINGSGLAIVE FINAL FANTASY XV Original Soundtrack,41,0.665,0.852,10,-8.484,0,0.0483
spotify:track:4NTxY7JfwxmDApRB2hocYU,Santiano,Les Marins D'Iroise,30,['musique militaire'],Les Marins D'Iroise,43,0.557,0.686,4,-8.152,0,0.033
spotify:track:4jIn1jQ7Wm0CHBUpgKv9uG,Liberators,Epic Score,49,['epicore'],Vengeance - ES033,54,0.216,0.861,6,-5.872,1,0.0489
spotify:track:2Mtd0VvFbC2mX44EvGq1cq,Fight Club,Lorne Balfe,59,"['british soundtrack', 'epicore', 'orchestral soundtrack', 'soundtrack']",Assassin's Creed 3 (Original Game Soundtrack),53,0.558,0.469,0,-13.878,0,0.0439
spotify:track:0N9ZvzuX2NdQVJqWP2fN0N,Halo Theme Song,William Joseph & Lindsey Stirling,22,['pop violin'],Halo Theme Song,42,0.246,0.62,4,-9.535,0,0.0466
spotify:track:7JoZiEMrwjpD18krCV8Czo,FAIRY TAIL Main Theme,Yasuharu Takanashi,58,"['anime', 'anime score', 'japanese celtic']","""Fairy Tail"" Original Soundtrack Vol.1",56,0.462,0.9,2,-3.578,0,0.0393
spotify:track:0eHHXHPzz3HduM5ZjtjY9k,Here We Go,Chris Classic,35,['wrestling'],Here We Go,49,0.462,0.786,10,-10.451,0,0.0538
spotify:track:15mbNyhZQdGkG7Z0J1DcUP,Caught in the Fire,Klergy,44,['bossbeat'],Caught in the Fire,39,0.51,0.43,9,-10.597,0,0.0428
spotify:track:17zSQr3PUy0Xw3JKuvVmUJ,"Ultra Instinct Mastered (From ""Dragon Ball Super"")",The Marcus Hedges Trend Orchestra,47,['scorecore'],"Ultra Instinct Mastered (From ""Dragon Ball Super"")",44,0.47,0.432,9,-10.782,0,0.0287
spotify:track:4bd2syoHunggIjewdw8KiA,We Have It All,Pim Stones,37,[],We Have It All,57,0.556,0.493,10,-7.151,0,0.032
spotify:track:6jYUObC5Aeif5gHD1oELVo,God Mode,Blasterjaxx,61,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",God Mode,33,0.383,0.9,2,-4.741,1,0.133
spotify:track:1QIqFCNyeUhRMeXXC1zkGV,I'm Coming For It,UNSECRET,50,"['bossbeat', 'rebel blues']",I'm Coming For It,44,0.577,0.461,4,-7.437,0,0.0284
spotify:track:4rtzFisVDyoN7F3VJR6u17,Bones,wens,28,"['alt z', 'indie electropop']",Life,0,0.45,0.534,5,-6.773,0,0.0295
spotify:track:72I5gb06T9KIESon4AWY8S,Lock Me Up,The Cab,53,"['neon pop punk', 'pop punk', 'vegas indie']",Lock Me Up,51,0.687,0.857,0,-6.31,0,0.034
spotify:track:6UgmF3c0nWYeqVs7prJo9C,Discipline Equals Freedom,Akira The Don,44,['welsh hip hop'],The Path,0,0.614,0.925,5,-4.023,0,0.0357
spotify:track:6kr0kSzKS88OusrdmZTUb6,The Devil You Know,Blues Saraceno,49,"['modern blues rock', 'rebel blues']",The Devil You Know,53,0.734,0.425,9,-9.46,0,0.043
spotify:track:1gsrFaPPIpxsD92lNZHWzG,Cardio,Timmy Trumpet,70,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international']",Cardio,50,0.711,0.857,1,-5.153,1,0.0466
spotify:track:6QIZUbPbMqbDUORTuZtxsV,My Heart's Grave,Faouzia,62,"['alt z', 'canadian pop']",My Heart's Grave,51,0.575,0.728,5,-6.19,0,0.0448
spotify:track:7pqZZcz4K6Oitb9G8hXJUG,Start a War,Klergy,44,['bossbeat'],Start a War,57,0.472,0.454,4,-9.278,0,0.0584
spotify:track:0zhzkkSXFj60Y5fzb2j9hU,King,Lauren Aquilina,42,['neo-singer-songwriter'],Fools,0,0.693,0.205,4,-9.403,1,0.0276
spotify:track:06AMpcajziFnEKniV25fiU,Star Sky,Two Steps from Hell,62,"['epicore', 'orchestral soundtrack']",Battlecry,58,0.443,0.822,2,-5.656,0,0.0508
spotify:track:41Hz3clJU5AXkcyeXgEqNS,Uhuru - Downpour Remix,Aneesh Gera,22,['indian edm'],Uhuru (Aurean Remix & Downpour Remix),0,0.654,0.758,7,-6.275,0,0.0449
spotify:track:1fBfLX3PDxSY9U6AsORTME,Burn the Witch,Shawn James,50,['midwest americana'],The Dark & The Light,0,0.332,0.516,4,-7.673,0,0.04
spotify:track:2dumj8Au8UsQS5arXT9uSy,Take It Off (Violin),Joel Sunny,55,['pop violin'],Take It Off (Violin),0,0.385,0.627,9,-4.872,0,0.032
spotify:track:5k4WRFLRWKheMfxTN4ukcS,Beethoven Virus,Ludwig van Beethoven,70,"['classical', 'classical era', 'early romantic era', 'german romanticism']",Beethoven Virus,34,0.229,0.389,8,-14.296,1,0.0301
spotify:track:7C7QG1Ys6cJB5cdofrJiGO,Moonlight Sonata Nightmare,We Are One,28,[],Moonlight Sonata Nightmare,37,0.447,0.847,6,-8.585,0,0.0318
spotify:track:1ZbzOXEYMJNT1zxqLHyCfA,Hate You,Jim Yosef,53,['gaming edm'],Hate You,53,0.651,0.661,10,-5.088,0,0.0322
spotify:track:0X8PiJHcTFmmUwsGpvtFik,Bassman,Blasterjaxx,61,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",Bassman,49,0.536,0.911,0,-4.158,1,0.0298
spotify:track:3DOtsRGkrytMrFa9B9jki5,Take Me to Church,MILCK,39,['la pop'],Take Me to Church,2,0.471,0.588,5,-7.616,0,0.0516
spotify:track:5PqyTNKqLPDeCIYaNkrcPn,Irresistible,Fall Out Boy,78,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",Irresistible,0,0.502,0.891,2,-4.457,1,0.0824
spotify:track:5jpWl5m5SYXm7lBjGPaY7n,Devil in Disguise,EMM,45,"['alt z', 'dark r&b']",RUBY,0,0.412,0.582,5,-6.997,0,0.0501
spotify:track:3yua0AP3kkKhpqUhi4uuw6,We All Lift Together,Freya Catherine,33,['geek folk'],"Freya, Vol. 3",45,0.543,0.278,2,-11.941,0,0.0335
spotify:track:2rjPF6L9EndsFYmiIGch3e,The Pizzicato Mafia,Sound Stabs,29,[],ONE,30,0.545,0.878,4,-6.711,0,0.0904
spotify:track:5D29PI3g8UmTHLnjX7e3CQ,All Eyes on You,Smash Into Pieces,58,['swedish alternative rock'],Arcadia,59,0.591,0.72,3,-6.181,0,0.0374
spotify:track:07Hlhs0mImO07P2XhXvVxy,Blood Runs Red,78rpm,28,['bossbeat'],Friday Night Sessions,46,0.557,0.918,5,-2.688,0,0.0655
spotify:track:6HptVLMwjkTcwjDi4Tq6if,Norupo,Heilung,53,"['dark folk', 'rune folk', 'viking folk']",Norupo,40,0.377,0.402,5,-8.564,1,0.0295
spotify:track:5DHQKZCOZhGNTbYBCekWx0,Paralyzed,NF,79,"['hip hop', 'pop rap']",Mansion,71,0.51,0.643,0,-6.602,1,0.0485
spotify:track:33xTNdyWm16aPQeOJodGvz,Blah Blah Blah - Dmitriy Mityukhin '6 Underground' Edit,Armin van Buuren,73,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",Balance (Remixes),10,0.592,0.841,1,-6.973,1,0.0657
spotify:track:6binNzC27dS7nDBbGK3h5t,Diggy Diggy Hole - Dance Remix,Wind Rose,55,"['fantasy metal', 'italian folk metal', 'italian power metal', 'middle earth', 'tolkien metal']",Diggy Diggy Hole (Dance Remix),40,0.621,0.937,5,-3.701,0,0.368
